Date	core-affined?	n	t	Runtime
05/22/2025 11:17:25	0	15	2	0.026841
05/22/2025 11:29:26	0	1000	2	4.219007
05/22/2025 11:30:41	1	1000	2	3.826827
05/22/2025 11:45:48	1	20000	2	879.645146
05/22/2025 12:09:51	1	1000	2	1.834882
05/22/2025 12:24:03	1	20000	2	822.082560
05/22/2025 12:33:15	1	1000	2	1.901381
05/22/2025 12:34:22	0	1000	2	0.776102
05/22/2025 12:36:30	0	5000	2	76.200102
05/22/2025 12:42:53	0	1000	1	2.384435
05/22/2025 12:45:28	0	1000	2	1.113322
05/22/2025 12:47:17	0	2500	2	18.071637
05/22/2025 12:49:16	0	5000	2	68.522144
05/22/2025 13:13:02	0	5000	2	55.784701
05/22/2025 13:23:52	0	5000	2	63.456531

05/22/2025 13:51:54	0	20000	2	2.806643
05/22/2025 14:13:05	0	30000	2	107.275660
05/22/2025 14:33:44	0	20000	2	2.307565
05/22/2025 14:35:41	0	25000	2	2.163782
05/23/2025 00:43:32	0	15	2	0.053592
05/23/2025 02:38:18	0	15	16	51.223590

05/23/2025 02:54:24	0	20000	2	205.232861
05/23/2025 02:59:28	0	20000	2	184.636830
05/23/2025 03:05:14	0	20000	2	191.150570

05/23/2025 03:10:33	0	20000	4	247.079327

05/23/2025 03:25:03	0	20000	4	186.928618
05/23/2025 03:39:21	0	20000	4	185.491028
05/23/2025 03:43:14	0	20000	4	186.620787
05/23/2025 03:47:39	0	20000	8	185.721509
05/23/2025 03:51:34	0	20000	8	183.681868
05/23/2025 03:56:44	0	20000	8	189.177580
05/23/2025 04:00:57	0	20000	16	185.840411
05/23/2025 04:07:36	0	20000	16	178.675527
05/23/2025 04:12:04	0	20000	16	178.496319
05/23/2025 04:18:25	0	25000	2	301.090559
05/23/2025 04:24:23	0	25000	2	296.948040
05/23/2025 04:29:49	0	25000	2	299.675740
05/23/2025 04:35:23	0	25000	4	289.424761
05/23/2025 04:40:41	0	25000	4	291.447317
05/23/2025 04:46:21	0	25000	4	288.979843
05/23/2025 04:52:30	0	25000	8	286.584981
05/23/2025 04:58:13	0	25000	8	287.089775
05/23/2025 05:03:34	0	25000	8	290.706439
05/23/2025 05:09:17	0	25000	16	286.646147
05/23/2025 05:14:38	0	25000	16	286.012270
05/23/2025 05:21:12	0	25000	16	283.657734
05/23/2025 05:29:22	0	30000	2	424.809981
05/23/2025 05:37:13	0	30000	2	436.539344
05/23/2025 05:52:07	0	30000	2	424.374760
05/23/2025 05:59:40	0	30000	4	406.568204
05/23/2025 06:07:12	0	30000	4	413.500203
05/23/2025 06:16:24	0	30000	4	423.666177
05/23/2025 06:24:43	0	30000	8	412.849177
05/23/2025 06:33:26	0	30000	8	467.819668
05/23/2025 06:43:17	0	30000	8	514.284101
05/23/2025 06:53:07	0	30000	16	505.072369
05/23/2025 07:07:15	0	30000	16	491.917823
05/23/2025 07:17:17	0	30000	16	506.161451
05/23/2025 07:22:25	0	20000	16	206.215280
05/23/2025 07:26:49	0	20000	16	225.559177
